wave,flux
3877.3445668912186,9279.905600878177
3877.3551723054775,8772.23448982928
3877.3657777487483,7293.9143969696015
3877.3763832210234,7144.538595696213
3877.386988722307,6666.974066272377
3877.3975942525985,5584.445716089802
3877.408199811903,6039.029746412067
3877.418805400212,6430.627232283122
3877.4294110175297,6645.860945689259
3877.44001666386,6946.434649116359
3877.450622339196,6455.925506384345
3877.46122804354,5730.214251419064
3877.471833776893,6398.109960674076
3877.4824395392593,6409.335361948934
3877.493045330631,6027.574909061893
3877.5036511510116,4493.2845828034915
3877.514257000406,4082.163394314703
3877.524862878805,5084.445994920331
3877.535468786214,4834.353759709047
3877.5460747226325,3740.4762047322
3877.5566806880647,4004.3393022485543
3877.5672866825025,3475.7302240624563
3877.57789270595,3845.3751168702734
3877.5884987584077,4910.612059309845
3877.5991048398787,5304.092890846776
3877.609710950356,6043.911015653983
3877.620317089844,7358.101415496087
3877.630923258346,7501.854886220768
3877.6415294558537,8252.039635789348
3877.6521356823723,7317.075440646149
3877.662741937901,7234.666328814347
3877.673348222444,8362.649696898647
3877.683954535994,8437.314676006325
3877.6945608785545,8244.688189029226
3877.70516725013,8597.637084163958
3877.715773650712,7451.875520450064
3877.7263800803053,7185.453098250554
3877.736986538909,6668.29831767478
3877.747593026528,4908.7000013939105
3877.7581995431547,4707.754044891801
3877.768806088792,4507.128392028623
3877.779412663441,3838.3764299338213
3877.790019267105,4887.5095003845645
3877.8006258997766,5975.829576595918
3877.8112325614597,6150.454141983995
3877.8218392521585,7956.587737955851
3877.8324459718647,7061.212242976064
3877.8430527205833,7115.211470417912
3877.853659498313,7596.234030193183
3877.864266305059,6579.459441359853
3877.874873140813,6450.416691296035
3877.885480005579,6860.907491951948
3877.8960868993618,4424.345699381083
3877.906693822152,3661.987065708497
3877.917300773955,2797.5662906782236
3877.9279077547703,1870.7322933175603
3877.938514764602,1760.3387092370538
3877.9491218034427,2187.642865060828
3877.9597288712957,2612.114504563389
3877.970335968161,3029.953514834633
3877.9809430940436,3538.9401302062897
3877.9915502489353,3681.4073536228384
3878.00215743284,4222.331009888789
3878.0127646457613,4460.857272471301
3878.0233718876916,4192.487176570343
3878.0339791586357,3582.870958464686
3878.0445864585927,3117.634587889537
3878.055193787567,3443.943864568834
3878.0658011455507,3409.191402791533
3878.076408532548,2929.9811440894846
3878.0870159485635,3117.0475875709667
3878.097623393588,3727.658797371435
3878.1082308676264,3669.4140548200808
3878.1188383706785,4147.091287148651
3878.129445902749,5318.66683167196
3878.140053463829,5270.911623578287
3878.1506610539236,6174.923678660066
3878.161268673032,7042.065333410399
3878.1718763211584,7608.245217901422
3878.1824839982955,8855.15460984013
3878.193091704447,8911.122641871218
3878.2036994396167,7791.924211732111
3878.214307203797,7377.466030080103
3878.224914996992,7494.273767119273
3878.235522819202,7805.110399085097
3878.2461306704304,7326.170723611023
3878.25673855067,6155.398181271972
3878.2673464599243,5557.015273566824
3878.277954398198,4863.925864406396
3878.2885623654824,4496.267130680848
